community_area,community_area_name,area_km2,n_bus_stops,n_rail_stations,bus_stops_per_km2,rail_stations_per_km2,bus_access_z,rail_access_z,weekday_departures,departures_per_km2,freq_access_z,transit_access,transit_access_z,transit_deficit
33,NEAR SOUTH SIDE,4.620205212061199,84,3.0,18.18101061414225,0.6493218076479375,-0.05510456801850282,0.7558993969379889,27083,5861.86083884303,0.584540595023931,0.42844514131447237,0.47026166832140087,-0.47026166832140087
34,ARMOUR SQUARE,2.5776018418320104,60,2.0,23.277450778571552,0.7759150259523852,0.6991955691147507,1.0095345049886115,10092,3915.2672209557354,-0.15044547253772303,0.5194282005218797,0.5701247338251733,-0.5701247338251733
35,DOUGLAS,4.27068852122238,104,1.0,24.35204522249554,0.23415428098553404,0.8582412383000503,-0.0759070923392399,22856,5351.830246205366,0.39196553663770706,0.39143322753283916,0.42963736746150744,-0.42963736746150744
36,OAKLAND,1.5701412414191696,25,0.0,15.92213448097433,0.0,-0.3894301996442383,-0.545045543464273,4701,2993.9981678024133,-0.498294100171831,-0.47758994776011415,-0.5242030401328664,0.5242030401328664
37,FULLER PARK,1.8489136263734058,44,2.0,23.797758517419126,1.0817162962463238,0.7762038702233278,1.6222208658526656,9118,4931.544594586991,0.23327596964383115,0.877233568573275,0.962852140647836,-0.962852140647836
38,GRAND BOULEVARD,4.501641174229913,126,4.0,27.989791972158812,0.8885648245129781,1.3966470242206859,1.2352333553099881,24099,5353.380926484565,0.39255103552662807,1.0081438050191007,1.1065393020951342,-1.1065393020951342
39,KENWOOD,2.698752519346306,50,0.0,18.52707858225957,0.0,-0.0038846758219360927,-0.545045543464273,13567,5027.137502510312,0.2693695100909636,-0.09318690306508183,-0.10228200596847284,0.10228200596847284
40,WASHINGTON PARK,3.9336392311046,102,1.0,25.930186783132505,0.2542175174816912,1.0918145477470078,-0.035709511262582566,21342,5425.510258094254,0.4197853043069777,0.4919634469304677,0.5399794022564492,-0.5399794022564492
41,HYDE PARK,4.187160273554431,97,0.0,23.166058536770038,0.0,0.6827089273499941,-0.545045543464273,23512,5615.261529036466,0.49143073618505395,0.2096980400235917,0.23016470636748723,-0.23016470636748723
42,WOODLAWN,5.367025069098647,146,2.0,27.203152234300937,0.37264592101782107,1.280220176657156,0.2015670295305486,36986,6891.341017382565,0.9732470929311132,0.8183447663729392,0.8982157527004405,-0.8982157527004405
