month,pickup_community_area,n_trips
2023-06-01,61,31219
2023-06-01,62,9526
2023-06-01,63,17997
2023-06-01,64,11592
2023-06-01,65,18489
2023-06-01,66,36871
2023-06-01,67,30372
2023-06-01,68,35669
2023-06-01,69,48895
2023-06-01,70,23972
2023-06-01,71,51517
2023-06-01,72,11363
2023-06-01,73,25468
2023-06-01,74,5893
2023-06-01,75,18970
2023-06-01,76,334232
2023-06-01,77,96525
2023-07-01,1,78158
2023-07-01,2,60213
2023-07-01,3,139134
2023-07-01,4,66127
2023-07-01,5,68627
2023-07-01,6,432334
2023-07-01,7,323387
2023-07-01,8,1056403
2023-07-01,9,7122
2023-07-01,10,25403
2023-07-01,11,21848
2023-07-01,12,10181
2023-07-01,13,14950
2023-07-01,14,44876
2023-07-01,15,47025
2023-07-01,16,63440
2023-07-01,17,21984
2023-07-01,18,9412
2023-07-01,19,54893
2023-07-01,20,18347
2023-07-01,21,66614
2023-07-01,22,211681
2023-07-01,23,58520
2023-07-01,24,351820
2023-07-01,25,106169
2023-07-01,26,25131
2023-07-01,27,33931
2023-07-01,28,555425
2023-07-01,29,55706
2023-07-01,30,43278
2023-07-01,31,75850
2023-07-01,32,570875
2023-07-01,33,154899
2023-07-01,34,37559
2023-07-01,35,47895
2023-07-01,36,10974
2023-07-01,37,6450
2023-07-01,38,43018
2023-07-01,39,30542
2023-07-01,40,23809
2023-07-01,41,92955
2023-07-01,42,48876
2023-07-01,43,68006
2023-07-01,44,51489
2023-07-01,45,11144
2023-07-01,46,24263
2023-07-01,47,3919
2023-07-01,48,12164
2023-07-01,49,47339
2023-07-01,50,12505
2023-07-01,51,13918
2023-07-01,52,4433
2023-07-01,53,25404
2023-07-01,54,8374
2023-07-01,55,3308
2023-07-01,56,108926
2023-07-01,57,12927
2023-07-01,58,26162
2023-07-01,59,15092
2023-07-01,60,32601
2023-07-01,61,32115
2023-07-01,62,10192
2023-07-01,63,19169
2023-07-01,64,11552
2023-07-01,65,18545
2023-07-01,66,37820
2023-07-01,67,31849
2023-07-01,68,36359
2023-07-01,69,50269
2023-07-01,70,24675
2023-07-01,71,53066
2023-07-01,72,11680
2023-07-01,73,27183
2023-07-01,74,6319
2023-07-01,75,19511
2023-07-01,76,315529
2023-07-01,77,96949
2023-08-01,1,79446
2023-08-01,2,63388
2023-08-01,3,146460
2023-08-01,4,65591
2023-08-01,5,70568
2023-08-01,6,442622
2023-08-01,7,317364
2023-08-01,8,1030754
2023-08-01,9,7266
2023-08-01,10,24128
2023-08-01,11,23071
2023-08-01,12,10372
2023-08-01,13,16135
2023-08-01,14,45390
2023-08-01,15,48933
2023-08-01,16,64540
2023-08-01,17,22502
2023-08-01,18,9674
2023-08-01,19,57027
2023-08-01,20,18119
2023-08-01,21,65961
2023-08-01,22,203536
2023-08-01,23,61863
2023-08-01,24,334641
2023-08-01,25,109543
2023-08-01,26,25600
2023-08-01,27,35182
2023-08-01,28,562431
2023-08-01,29,58581
2023-08-01,30,44840
2023-08-01,31,79570
2023-08-01,32,560693
2023-08-01,33,126954
2023-08-01,34,36511
2023-08-01,35,47699
2023-08-01,36,10246
2023-08-01,37,6553
2023-08-01,38,43784
2023-08-01,39,30603
2023-08-01,40,24044
2023-08-01,41,90551
2023-08-01,42,47364
2023-08-01,43,69058
2023-08-01,44,53082
2023-08-01,45,11803
2023-08-01,46,25284
2023-08-01,47,4377
2023-08-01,48,12637
2023-08-01,49,49295
2023-08-01,50,12959
2023-08-01,51,15463
2023-08-01,52,4595
2023-08-01,53,24521
2023-08-01,54,8700
2023-08-01,55,3786
2023-08-01,56,112787
2023-08-01,57,14528
2023-08-01,58,27056
2023-08-01,59,16182
2023-08-01,60,33383
2023-08-01,61,33543
2023-08-01,62,10729
2023-08-01,63,19691
2023-08-01,64,11974
2023-08-01,65,20039
2023-08-01,66,40038
2023-08-01,67,33302
2023-08-01,68,38381
2023-08-01,69,51388
2023-08-01,70,25953
2023-08-01,71,55890
2023-08-01,72,11152
2023-08-01,73,27613
2023-08-01,74,6663
2023-08-01,75,19263
2023-08-01,76,326054
2023-08-01,77,98569
2023-09-01,1,81200
2023-09-01,2,63151
2023-09-01,3,142040
2023-09-01,4,68087
2023-09-01,5,66811
2023-09-01,6,413235
2023-09-01,7,318725
2023-09-01,8,1007129
2023-09-01,9,6371
2023-09-01,10,25042
2023-09-01,11,23420
2023-09-01,12,9496
2023-09-01,13,17130
2023-09-01,14,45602
2023-09-01,15,47994
2023-09-01,16,64222
2023-09-01,17,22227
2023-09-01,18,9861
2023-09-01,19,56991
2023-09-01,20,18743
2023-09-01,21,66680
2023-09-01,22,204858
2023-09-01,23,61258
2023-09-01,24,347567
2023-09-01,25,107278
2023-09-01,26,24904
2023-09-01,27,35355
2023-09-01,28,568142
2023-09-01,29,64867
2023-09-01,30,46544
2023-09-01,31,80144
2023-09-01,32,554092
2023-09-01,33,136610
2023-09-01,34,36988
2023-09-01,35,46349
2023-09-01,36,9469
2023-09-01,37,6412
2023-09-01,38,42577
2023-09-01,39,30874
2023-09-01,40,23215
2023-09-01,41,110236
